GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Deer_Park_Energy_Center_1	2	1
Freeport_Energy_Center	1	1
Freeport_Energy_Center	2	1
Green_Power_2	1	1
Green_Power_2	2	1
Gregory_Power_Facility	1	1
Gregory_Power_Facility	2	1
Houston_Chemical_Complex_Battleground	1	1
Houston_Chemical_Complex_Battleground	2	1
Ingleside_Cogeneration	1	1
Ingleside_Cogeneration	2	1
Optim_Energy_Altura_Cogen	1	1
Optim_Energy_Altura_Cogen	2	1
Oyster_Creek_Unit_VIII	1	1
Oyster_Creek_Unit_VIII	2	1
Pasadena_Cogeneration	1	1
Pasadena_Cogeneration	2	1
Texas_City_1	1	1
Texas_City_1	2	1
Wichita_Falls_Cogeneration_Plant	1	1
Wichita_Falls_Cogeneration_Plant	2	1
Greenville_Powerlane_IC1	1	1
Greenville_Powerlane_IC1	2	1
Greenville_Powerlane_IC2	1	1
Greenville_Powerlane_IC2	2	1
Greenville_Powerlane_IC3	1	1
Greenville_Powerlane_IC3	2	1
Pearsall_IC_Engine_Plant_A	1	1
Pearsall_IC_Engine_Plant_A	2	1
Pearsall_IC_Engine_Plant_B	1	1
Pearsall_IC_Engine_Plant_B	2	1
Pearsall_IC_Engine_Plant_C	1	1
Pearsall_IC_Engine_Plant_C	2	1
Pearsall_IC_Engine_Plant_D	1	1
Pearsall_IC_Engine_Plant_D	2	1
Bryan_Atkins_7	1	1
Bryan_Atkins_7	2	1
Dansby_2	1	1
Dansby_2	2	1
Dansby_3	1	1
Dansby_3	2	1
Decker_Creek_G1	1	1
Decker_Creek_G1	2	1
Decker_Creek_G2	1	1
Decker_Creek_G2	2	1
Decker_Creek_G3	1	1
Decker_Creek_G3	2	1
Decker_Creek_G4	1	1
Decker_Creek_G4	2	1
DeCordova_1	1	1
DeCordova_1	2	1
DeCordova_2	1	1
DeCordova_2	2	1
DeCordova_3	1	1
DeCordova_3	2	1
DeCordova_4	1	1
DeCordova_4	2	1
Ector_County_Energy	1	1
Ector_County_Energy	2	1
ExTex_La_Porte_Power_Station_AirPro_1	1	1
ExTex_La_Porte_Power_Station_AirPro_1	2	1
ExTex_La_Porte_Power_Station_AirPro_2	1	1
ExTex_La_Porte_Power_Station_AirPro_2	2	1
ExTex_La_Porte_Power_Station_AirPro_3	1	1
ExTex_La_Porte_Power_Station_AirPro_3	2	1
ExTex_La_Porte_Power_Station_AirPro_4	1	1
ExTex_La_Porte_Power_Station_AirPro_4	2	1
Greens_Bayou_73	1	1
Greens_Bayou_73	2	1
Greens_Bayou_74	1	1
Greens_Bayou_74	2	1
Greens_Bayou_81	1	1
Greens_Bayou_81	2	1
Greens_Bayou_82	1	1
Greens_Bayou_82	2	1
Greens_Bayou_83	1	1
Greens_Bayou_83	2	1
Greens_Bayou_84	1	1
Greens_Bayou_84	2	1
Laredo_Peaking_4	1	1
Laredo_Peaking_4	2	1
Laredo_Peaking_5	1	1
Laredo_Peaking_5	2	1
Leon_Creek_Peaking_1	1	1
Leon_Creek_Peaking_1	2	1
Leon_Creek_Peaking_2	1	1
Leon_Creek_Peaking_2	2	1
Leon_Creek_Peaking_3	1	1
Leon_Creek_Peaking_3	2	1
Leon_Creek_Peaking_4	1	1
Leon_Creek_Peaking_4	2	1
Morgan_Creek_1	1	1
Morgan_Creek_1	2	1
Morgan_Creek_2	1	1
Morgan_Creek_2	2	1
Morgan_Creek_3	1	1
Morgan_Creek_3	2	1
Morgan_Creek_4	1	1
Morgan_Creek_4	2	1
Morgan_Creek_5	1	1
Morgan_Creek_5	2	1
Morgan_Creek_6	1	1
Morgan_Creek_6	2	1
Permian_Basin_1	1	1
Permian_Basin_1	2	1
Permian_Basin_2	1	1
Permian_Basin_2	2	1
Permian_Basin_3	1	1
Permian_Basin_3	2	1
Permian_Basin_4	1	1
Permian_Basin_4	2	1
Permian_Basin_5	1	1
Permian_Basin_5	2	1
R_W_Miller_4	1	1
R_W_Miller_4	2	1
R_W_Miller_5	1	1
R_W_Miller_5	2	1
Ray_Olinger_4	1	1
Ray_Olinger_4	2	1
Sam_Rayburn_GT_1	1	1
Sam_Rayburn_GT_1	2	1
Sam_Rayburn_GT_2	1	1
Sam_Rayburn_GT_2	2	1
San_Jacinto_SES_CTG_1	1	1
San_Jacinto_SES_CTG_1	2	1
San_Jacinto_SES_CTG_2	1	1
San_Jacinto_SES_CTG_2	2	1
Sand_Hill_Energy_Center_GT_1	1	1
Sand_Hill_Energy_Center_GT_1	2	1
Sand_Hill_Energy_Center_GT_2	1	1
Sand_Hill_Energy_Center_GT_2	2	1
Sand_Hill_Energy_Center_GT_3	1	1
Sand_Hill_Energy_Center_GT_3	2	1
Sand_Hill_Energy_Center_GT_4	1	1
Sand_Hill_Energy_Center_GT_4	2	1
Sand_Hill_Energy_Center_GT_6	1	1
Sand_Hill_Energy_Center_GT_6	2	1
Sand_Hill_Energy_Center_GT_7	1	1
Sand_Hill_Energy_Center_GT_7	2	1
Silas_Ray_10	1	1
Silas_Ray_10	2	1
T_H_Wharton_G_1	1	1
T_H_Wharton_G_1	2	1
T_H_Wharton_GT_51	1	1
T_H_Wharton_GT_51	2	1
T_H_Wharton_GT_52	1	1
T_H_Wharton_GT_52	2	1
T_H_Wharton_GT_53	1	1
T_H_Wharton_GT_53	2	1
T_H_Wharton_GT_54	1	1
T_H_Wharton_GT_54	2	1
T_H_Wharton_GT_55	1	1
T_H_Wharton_GT_55	2	1
T_H_Wharton_GT_56	1	1
T_H_Wharton_GT_56	2	1
V_H_Braunig_5	1	1
V_H_Braunig_5	2	1
V_H_Braunig_6	1	1
V_H_Braunig_6	2	1
V_H_Braunig_7	1	1
V_H_Braunig_7	2	1
V_H_Braunig_8	1	1
V_H_Braunig_8	2	1
W_A_Parish_Petra_Nova	1	1
W_A_Parish_Petra_Nova	2	1
W_A_Parish_T1	1	1
W_A_Parish_T1	2	1
Winchester_Power_Park_1	1	1
Winchester_Power_Park_1	2	1
Winchester_Power_Park_2	1	1
Winchester_Power_Park_2	2	1
Winchester_Power_Park_3	1	1
Winchester_Power_Park_3	2	1
Winchester_Power_Park_4	1	1
Winchester_Power_Park_4	2	1
Bayou_Cogen_Plant	1	1
Bayou_Cogen_Plant	2	1
BP_Chemicals_Green_Lake_Plant	1	1
BP_Chemicals_Green_Lake_Plant	2	1
Equistar_Corpus_Christi	1	1
Equistar_Corpus_Christi	2	1
ExxonMobil_Baytown_Refinery	1	1
ExxonMobil_Baytown_Refinery	2	1
Sweeny_Cogen_Facility	1	1
Sweeny_Cogen_Facility	2	1
Texas_Gulf_Sulphur_(New_Gulf)	1	1
Texas_Gulf_Sulphur_(New_Gulf)	2	1
