gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass,Northeast,Biomass,2017,0.0,0.0,0.0
Coal,Coast,Coal-Sub,2017,0.0,0.0,0.0
Coal,Northeast,Coal-Lig,2017,5189.69115,0.0,6010564.71046
Coal,Northeast,Coal-Sub,2017,5364.13455,0.0,6026244.76748
Coal,South,Coal-Lig,2017,0.0,0.0,0.0
Coal,South,Coal-Sub,2017,0.0,0.0,0.0
Hydro,Northeast,Hydro,2017,4744.1592,0.0,0.0
NGBlr-GSSUP,Coast,NGBlr,2017,3962.67310418,0.0,2531183.55899
NGBlr-GSSUP,Northeast,NGBlr,2017,0.0,0.0,0.0
NGBlr-GSSUp,Coast,NGBlr,2017,0.0,0.0,0.0
NGBlr-Non-reheat,Northeast,NGBlr,2017,0.0,0.0,0.0
NGBlr-Non-reheat,South,NGBlr,2017,0.0,0.0,0.0
NGBlr-Reheat,Coast,NGBlr,2017,0.0,0.0,0.0
NGBlr-Reheat,Northeast,NGBlr,2017,0.285466604468,0.0,191.453977035
NGBlr-Reheat,South,NGBlr,2017,1183.1671157,0.0,803959.76108
NGCC-E_Class,Coast,NGCC,2017,0.0,0.0,0.0
NGCC-E_Class,Northeast,NGCC,2017,0.0,0.0,0.0
NGCC-E_Class,South,NGCC,2017,1.86458177393,0.0,679.991685376
NGCC-E_Class,West,NGCC,2017,48.4003918424,0.0,24633.8147631
NGCC-F_Class,Coast,NGCC,2017,12971.1550857,0.0,6332597.84012
NGCC-F_Class,Northeast,NGCC,2017,6440.53487146,0.0,2934349.7751
NGCC-F_Class,South,NGCC,2017,4615.299,0.0,2054240.07346
NGCC-F_Class,West,NGCC,2017,6927.41362715,0.0,3219433.19295
NGCC-G&H_Class,Coast,NGCC,2017,0.0,0.0,0.0
NGCC-G&H_Class,Northeast,NGCC,2017,0.0,0.0,0.0
NGCC-G&H_Class,South,NGCC,2017,0.0,0.0,0.0
NGCC-LM6000,Coast,NGCC,2017,0.0,0.0,0.0
NGCC-LM6000,South,NGCC,2017,0.0,0.0,0.0
NGIC,Northeast,NGIC,2017,0.0,0.0,0.0
NGIC,South,NGIC,2017,0.0,0.0,0.0
NGIC,West,NGIC,2017,1435.8708,0.0,797350.163694
Nucl,Coast,Nucl,2017,0.0,0.0,0.0
Nucl,Northeast,Nucl,2017,3383.13862278,0.0,0.0
OCGT-E_Class,Coast,OCGT,2017,1065.069,0.0,903580.820619
OCGT-E_Class,Northeast,OCGT,2017,0.0,0.0,0.0
OCGT-E_Class,South,OCGT,2017,92.8529784,0.0,78774.3990479
OCGT-E_Class,West,OCGT,2017,4243.73934874,0.0,3447364.69052
OCGT-LM6000,Coast,OCGT,2017,0.0,0.0,0.0
OCGT-LM6000,Northeast,OCGT,2017,0.0,0.0,0.0
OCGT-LM6000,South,OCGT,2017,0.0,0.0,0.0
OCGT-LM6000,West,OCGT,2017,2577.204,0.0,1431494.20317
OCGT-LMS100,South,OCGT,2017,0.0,0.0,0.0
OCGT-Older,Coast,OCGT,2017,0.0,0.0,0.0
OCGT-Older,Northeast,OCGT,2017,121.564003962,0.0,103132.193743
OCGT-Older,South,OCGT,2017,0.0,0.0,0.0
