fuel	co2_intensity	upstream_co2_intensity
Coal-Lig	0.0979995174754228	0.00979995174754228
Coal-Sub	0.0955908007343669	0.00955908007343669
Biomass	0.0955901697344667	0.00955901697344667
Hydro	0	0
NGBlr	0.0538854938946394	0.00538854938946394
NGCC	0.0540964725899773	0.00540964725899773
NGIC-Agg	0.0540841413032632	0.00540841413032632
NGIC	0.0540841413032632	0.00540841413032632
Nucl-Agg	0	0
Nucl	0	0
OCGT	0.0533700685306422	0.00533700685306422
CAES	0.00793787591512369	0.000793787591512369
