LOAD_ZONE	TIMEPOINT	zone_demand_mw
South	6553	14763.32211
South	6554	14123.31174
South	6555	13750.0046
South	6556	13911.28552
South	6557	14702.2303
South	6558	16261.11119
South	6559	16870.40031
South	6560	17098.49722
South	6561	17809.14873
South	6562	19022.04568
South	6563	20317.01679
South	6564	21793.87128
South	6565	23149.88439
South	6566	24288.35377
South	6567	24957.56431
South	6568	25461.41186
South	6569	25335.65081
South	6570	24410.69852
South	6571	23681.63225
South	6572	22994.61467
South	6573	21565.4553
South	6574	19730.08206
South	6575	17961.77421
South	6576	16535.81269
South	6577	15685.4678
South	6578	15116.48951
South	6579	14739.24001
South	6580	14803.36744
South	6581	15583.50247
South	6582	17051.22677
South	6583	17630.1447
South	6584	17830.4268
South	6585	18871.40851
South	6586	20089.32493
South	6587	21029.16988
South	6588	21775.45209
South	6589	22715.90937
South	6590	23617.05778
South	6591	23651.34428
South	6592	20858.54893
South	6593	19560.55463
South	6594	19029.24564
South	6595	18802.79374
South	6596	18421.48502
South	6597	17386.80625
South	6598	15864.92737
South	6599	14204.18771
South	6600	12689.84091
South	6601	11902.10457
South	6602	11411.11654
South	6603	11054.26361
South	6604	11052.9791
South	6605	11726.14321
South	6606	13114.00254
South	6607	13595.99354
South	6608	13828.18529
South	6609	14498.12697
South	6610	15147.30789
South	6611	15663.91646
South	6612	16234.63943
South	6613	16860.95875
South	6614	17500.5469
South	6615	17879.09023
South	6616	18097.95676
South	6617	17738.08971
South	6618	16780.45878
South	6619	16273.74907
South	6620	15874.04446
South	6621	15006.69589
South	6622	13919.37217
South	6623	12718.04186
South	6624	11587.58981
South	6625	10938.08415
South	6626	10452.61084
South	6627	10233.00444
South	6628	10195.68448
South	6629	10355.61183
South	6630	10803.56821
South	6631	11192.40244
South	6632	11785.04197
South	6633	12464.94979
South	6634	13020.30891
South	6635	13298.39763
South	6636	13592.6502
South	6637	13931.73643
South	6638	14369.64536
South	6639	14862.87682
South	6640	15299.07853
South	6641	15388.86944
South	6642	15005.67142
South	6643	14956.89891
South	6644	14705.56713
South	6645	14029.51242
South	6646	13122.09817
South	6647	12150.84619
