LOAD_ZONE	TIMEPOINT	zone_demand_mw
South	1669	14069.77269
South	1670	14193.64833
South	1671	14277.72975
South	1672	14437.82462
South	1673	14532.30724
South	1674	14456.42302
South	1675	14476.17562
South	1676	14938.41973
South	1677	14454.06639
South	1678	13402.915
South	1679	12129.03636
South	1680	11164.27609
South	1681	10650.82973
South	1682	10394.86372
South	1683	10429.3827
South	1684	10901.73953
South	1685	11970.02388
South	1686	13566.86124
South	1687	14823.27078
South	1688	15146.61472
South	1689	15354.48187
South	1690	15471.67144
South	1691	15278.05372
South	1692	14943.5748
South	1693	14637.00688
South	1694	14205.4965
South	1695	13923.18806
South	1696	13701.94346
South	1697	13619.9479
South	1698	13692.37772
South	1699	14187.43272
South	1700	14952.31289
South	1701	14854.77307
South	1702	14205.7129
South	1703	13393.72313
South	1704	12947.79227
South	1705	12793.26036
South	1706	12879.89157
South	1707	13137.89958
South	1708	13780.77817
South	1709	15038.83872
South	1710	16778.59684
South	1711	17826.19438
South	1712	17613.41061
South	1713	16667.48443
South	1714	15844.63311
South	1715	15067.73444
South	1716	14470.97
South	1717	14114.60546
South	1718	13731.85609
South	1719	13441.93514
South	1720	13309.19577
South	1721	13262.70041
South	1722	13190.37564
South	1723	13601.16124
South	1724	14365.04044
South	1725	14136.34407
South	1726	13438.9228
South	1727	12518.72597
South	1728	11893.6894
South	1729	11529.37441
South	1730	11440.27228
South	1731	11472.3386
South	1732	11919.37774
South	1733	12907.59608
South	1734	14300.99078
South	1735	15204.53729
South	1736	15156.04845
South	1737	14902.56026
South	1738	14744.00871
South	1739	14411.61606
South	1740	13959.42403
South	1741	13827.30121
South	1742	13580.85028
South	1743	13391.99779
South	1744	13262.29397
South	1745	13211.20867
South	1746	13109.40246
South	1747	13392.41812
South	1748	13789.24496
South	1749	13387.85648
South	1750	12667.49509
South	1751	11898.83836
South	1752	11129.0851
South	1753	10612.97551
South	1754	10257.48082
South	1755	10176.57746
South	1756	10199.7272
South	1757	10472.73776
South	1758	11035.4653
South	1759	11605.01574
South	1760	12135.29719
South	1761	12741.76562
South	1762	13111.6652
South	1763	13312.1658
South	1764	13264.72494
South	1765	13154.87714
South	1766	12887.27037
South	1767	12717.27295
South	1768	12800.67171
South	1769	12918.51257
South	1770	13034.58962
South	1771	13086.33076
South	1772	13278.87208
South	1773	12943.75133
South	1774	12362.48202
South	1775	11635.87164
South	1776	11039.2003
South	1777	10618.97251
South	1778	10398.93766
South	1779	10330.95502
South	1780	10448.66903
South	1781	10703.77727
South	1782	11260.01392
South	1783	12043.05692
South	1784	12870.06317
South	1785	13658.85629
South	1786	14119.54657
South	1787	14554.33721
South	1788	15064.63022
South	1789	15488.13587
South	1790	15759.84339
South	1791	15967.8603
South	1792	16312.32547
South	1793	16821.68831
South	1794	17323.55062
South	1795	17890.48929
South	1796	18250.65164
South	1797	17761.6422
South	1798	16629.88478
South	1799	15397.5664
South	1800	14595.30632
South	1801	14170.1425
South	1802	14092.48955
South	1803	14235.62811
South	1804	14882.10146
South	1805	16378.24459
South	1806	18576.01534
South	1807	19492.3855
South	1808	18698.63523
South	1809	17769.88524
South	1810	16966.27591
South	1811	16110.72577
South	1812	15397.76915
South	1813	14754.45809
South	1814	14329.99225
South	1815	13860.33725
South	1816	13773.81581
South	1817	13751.76601
South	1818	13934.52094
South	1819	14585.85751
South	1820	15450.82707
South	1821	15172.53462
South	1822	14236.54534
South	1823	13255.63135
South	1824	12607.01356
South	1825	12332.13438
South	1826	12286.95952
South	1827	12422.4582
South	1828	12903.61765
South	1829	14162.83341
South	1830	16211.42508
South	1831	17026.74524
South	1832	16207.42616
South	1833	15511.24814
South	1834	15080.34029
South	1835	14604.59395
South	1836	14229.57404
South	1837	14023.51004
South	1838	13924.22406
South	1839	13869.45122
South	1840	14026.27144
South	1841	14088.6077
South	1842	14005.62736
South	1843	14275.51128
South	1844	15034.34007
South	1845	14556.20529
South	1846	13418.98676
South	1847	12005.23296
South	1848	11046.63733
South	1849	10493.6244
South	1850	10270.89616
South	1851	10279.75774
South	1852	10611.30597
South	1853	11788.39104
South	1854	13964.16456
South	1855	15108.78104
South	1856	14950.23253
South	1857	14947.54277
South	1858	14848.73209
South	1859	14556.28952
South	1860	14195.50405
South	1861	14071.9564
South	1862	13819.49444
South	1863	13655.70016
South	1864	13647.39126
South	1865	13615.36169
South	1866	13637.42708
South	1867	14078.48505
South	1868	14872.19955
South	1869	14499.28786
South	1870	13533.39724
South	1871	12410.56928
South	1872	11770.99997
South	1873	11560.73537
South	1874	11573.11772
South	1875	11781.29319
South	1876	12273.14365
South	1877	13759.79216
South	1878	16087.42722
South	1879	17141.4144
South	1880	16512.04342
South	1881	15653.96711
South	1882	15078.27221
South	1883	14491.38958
South	1884	14057.06309
South	1885	13896.49036
South	1886	13754.17261
South	1887	13737.17265
South	1888	13795.70656
South	1889	13783.13682
South	1890	13699.38794
South	1891	13913.50149
South	1892	14702.8746
South	1893	14265.67593
South	1894	13204.79801
South	1895	11976.6061
South	1896	11150.31332
South	1897	10727.87037
South	1898	10587.55053
South	1899	10665.0134
South	1900	11055.33964
South	1901	12147.07012
South	1902	13957.94941
South	1903	14798.73097
South	1904	14509.9957
South	1905	14263.36289
South	1906	14163.27234
South	1907	14052.90618
South	1908	14053.22339
South	1909	14183.76111
South	1910	14225.45362
South	1911	14248.44022
South	1912	14277.08303
South	1913	14041.54417
South	1914	13908.51678
South	1915	14071.91971
South	1916	14391.51405
South	1917	13920.8946
South	1918	13102.67997
South	1919	11991.33472
South	1920	11104.47346
South	1921	10578.66737
South	1922	10173.96552
South	1923	10011.83605
South	1924	10028.49993
South	1925	10298.32908
South	1926	10924.08841
South	1927	11599.09163
South	1928	12156.71473
South	1929	12815.61115
South	1930	13233.89621
South	1931	13397.87056
South	1932	13342.2773
South	1933	13137.06021
South	1934	12951.91896
South	1935	12848.30535
South	1936	12838.54346
South	1937	12938.4845
South	1938	13026.05713
South	1939	13455.36335
South	1940	13738.71333
South	1941	13408.26792
South	1942	12752.83379
South	1943	11970.29882
South	1944	11294.18244
South	1945	10857.11313
South	1946	10630.28286
South	1947	10645.32229
South	1948	10840.01505
South	1949	11174.57159
South	1950	11853.43283
South	1951	12714.33687
South	1952	13525.91392
South	1953	14240.858
South	1954	14474.91042
South	1955	14420.40867
South	1956	14194.11596
South	1957	13879.45213
South	1958	13669.82237
South	1959	13450.8153
South	1960	13303.68695
South	1961	13336.07607
South	1962	13463.21741
South	1963	14053.10425
South	1964	14972.0987
South	1965	14737.47679
South	1966	13909.18996
South	1967	12948.86903
South	1968	12332.10867
South	1969	12103.83769
South	1970	12140.09155
South	1971	12407.52775
South	1972	13009.60851
South	1973	14534.5697
South	1974	16742.64445
South	1975	17664.38253
South	1976	16920.70186
South	1977	16201.6429
South	1978	15580.8055
South	1979	14927.61626
South	1980	14383.86527
South	1981	14093.00858
South	1982	13848.73671
South	1983	13692.19349
South	1984	13684.63518
South	1985	13653.11152
South	1986	13671.96573
South	1987	14001.81072
South	1988	14726.79222
South	1989	14223.12275
South	1990	13135.89447
South	1991	11909.68359
South	1992	11309.04375
South	1993	11073.55276
South	1994	11056.61128
South	1995	11357.07747
South	1996	12012.01837
South	1997	13510.16433
South	1998	15791.18097
South	1999	16769.2225
South	2000	16137.17829
South	2001	15615.19809
South	2002	15258.66983
South	2003	14789.31406
South	2004	14424.33354
South	2005	14110.4935
South	2006	13790.82717
South	2007	13559.6798
South	2008	13481.43608
South	2009	13488.13705
South	2010	13623.11087
South	2011	14064.59123
South	2012	15001.40362
South	2013	14632.50512
South	2014	13603.67837
South	2015	12604.39032
South	2016	12032.09172
South	2017	11790.53026
South	2018	11796.15159
South	2019	12004.59285
South	2020	12558.13227
South	2021	13926.39598
South	2022	15979.38062
South	2023	16680.95915
South	2024	16246.59968
South	2025	16208.29215
South	2026	16182.34743
South	2027	16171.38452
South	2028	15890.09258
South	2029	15727.63775
