GEN_TP_FUELS_1	GEN_TP_FUELS_2	GEN_TP_FUELS_3	GenFuelUseRate
Ray_Olinger_2	12	NG	0.0
V_H_Braunig_7	7	NG	474.91200000000003
Graham_1	9	NG	0.0
Cedar_Bayou_2	10	NG	7692.979
Comanche_Peak_U2	11	Uranium	12546.305
Jack_County_Generation_Facility_2	1	NG	0.0
Spencer_5	7	NG	0.0
Laredo_Peaking_5	8	NG	0.0
Morgan_Creek_4	4	NG	0.0
Jack_County_Generation_Facility_1	9	NG	0.0
Morgan_Creek_6	11	NG	0.0
Handley_4	10	NG	0.0
Leon_Creek_Peaking_1	10	NG	0.0
Johnson_County	8	NG	0.0
R_W_Miller_3	11	NG	0.0
Pearsall_2	5	NG	319.0
W_A_Parish_6	11	Coal-Sub	0.0
Martin_Lake_2	12	Coal-Lig	0.0
Colorado_Bend_Energy_Center_2	8	NG	0.0
Guadalupe_Generating_Station_1	11	NG	759.8867837540037
V_H_Braunig_8	5	NG	465.01800000000003
Big_Brown_2	12	Coal-Sub	0.0
T_H_Wharton_GT_54	7	NG	0.0
Panda_Temple_II_CTG2	7	NG	0.0
R_W_Miller_4	8	NG	0.0
Victoria_Texas_Plant	8	NG	80.10000000000001
Wolf_Hollow_Power_Proj_1	7	NG	0.0
DeCordova_3	4	NG	0.0
Pearsall_IC_Engine_Plant_D	7	NG	495.25812600000006
BP_Chemicals_Green_Lake_Plant	7	NG	92.0
Winchester_Power_Park_1	1	NG	0.0
Pearsall_IC_Engine_Plant_D	11	NG	495.25812600000006
V_H_Braunig_7	6	NG	474.91200000000003
Monticello_U3	5	Coal-Sub	0.0
Gibbons_Creek_1	11	Coal-Sub	0.0
W_A_Parish_Petra_Nova	8	NG	738.7420000000001
Permian_Basin_2	9	NG	0.0
Oklaunion_1	8	Coal-Sub	0.0
Sim_Gideon_1	12	NG	1424.943
Spencer_5	6	NG	0.0
Wise_County_Power_LP	8	NG	0.0
Jack_County_Generation_Facility_1	10	NG	0.0
Quail_Run_Energy_1	5	NG	0.0
Pasadena_Cogeneration	4	NG	5617.3403
V_H_Braunig_2	10	NG	2363.825
Leon_Creek_Peaking_1	9	NG	0.0
Permian_Basin_1	3	NG	0.0
Sand_Hill_Energy_Center_GT_7	12	NG	0.0
Graham_1	4	NG	0.0
T_H_Wharton_GT_52	1	NG	0.0
Permian_Basin_5	10	NG	0.0
San_Jacinto_SES_CTG_2	12	NG	1098.91647
T_H_Wharton_GT_51	6	NG	0.0
Nueces_Bay_8	2	NG	5209.938149999999
Equistar_Corpus_Christi	5	NG	102.0
Panda_Temple_1	4	NG	0.0
W_A_Parish_5	3	Coal-Sub	0.0
Ennis_Power_Station_1	3	NG	0.0
Oklaunion_1	4	Coal-Sub	0.0
Bryan_Atkins_7	12	NG	0.0
J_T_Deely_1	11	Coal-Sub	0.0
San_Antonio_Area_LFG	4	Biogas	262.64000000000004
ExxonMobil_Baytown_Refinery	1	NG	0.0
Midlothian_1	4	NG	0.0
Pearsall_IC_Engine_Plant_C	12	NG	495.587026
Cedar_Bayou_2	1	NG	7692.979
Morgan_Creek_3	8	NG	0.0
B_M_Davis_3	1	NG	0.0
T_H_Wharton_GT_52	10	NG	0.0
Permian_Basin_5	1	NG	0.0
Powerlane_Plant_2	6	NG	0.0
Fayette_Power_Project_2	8	Coal-Sub	0.0
Ray_Olinger_1	6	NG	0.0
Odessa_Ector_Generating_Station_1	6	NG	0.0
DeCordova_3	11	NG	0.0
Sandow_U4	10	Coal-Lig	0.0
Decker_Creek_G1	7	NG	0.0
Greens_Bayou_82	10	NG	0.0
Pasadena_Cogeneration	7	NG	0.0
Oklaunion_1	11	Coal-Sub	0.0
Winchester_Power_Park_1	12	NG	0.0
Sweeny_Cogen_Facility	11	NG	3876.2999999999997
Graham_1	5	NG	0.0
T_H_Wharton_GT_52	6	NG	0.0
Fayette_Power_Project_3	12	Coal-Sub	0.0
Morgan_Creek_1	1	NG	0.0
Laredo_Peaking_5	4	NG	877.8888
Sandy_Creek_1	10	Coal-Sub	0.0
Oak_Grove_SES_Unit_2	11	Coal-Lig	0.0
Tenaska_Gateway_Station	12	NG	0.0
W_A_Parish_5	9	Coal-Sub	0.0
Permian_Basin_3	12	NG	0.0
V_H_Braunig_1	1	NG	2361.8408
San_Jacinto_SES_CTG_2	5	NG	1098.91647
Handley_3	3	NG	0.0
Frontera_1	1	NG	0.0
V_H_Braunig_3	11	NG	0.0
R_W_Miller_1	11	NG	0.0
Dallas-Fort_Worth_Area_LFG	7	Biogas	0.0
Lamar_Power_Project_1	12	NG	0.0
V_H_Braunig_6	11	NG	474.91200000000003
South_Texas_U1	5	Uranium	13505.572
Houston_Chemical_Complex_Battleground	10	NG	499.7
Panda_Temple_1	11	NG	0.0
Limestone_1	4	Coal-Sub	0.0
J_T_Deely_2	3	Coal-Sub	0.0
DeCordova_3	8	NG	0.0
Decker_Creek_G1	6	NG	0.0
Martin_Lake_2	10	Coal-Lig	0.0
Sam_Rayburn_GT_1	2	NG	0.0
T_H_Wharton_3	4	NG	3134.246
Ferguson_Replacement	4	NG	3594.09
Sand_Hill_Energy_Center_GT_6	5	NG	464.736
Texas_Gulf_Sulphur_(New_Gulf)	9	NG	0.0
Sandy_Creek_1	4	Coal-Sub	0.0
ExTex_La_Porte_Power_Station_AirPro_2	1	NG	0.0
T_H_Wharton_3	8	NG	3134.246
Greens_Bayou_81	7	NG	0.0
Pasadena_Cogeneration	8	NG	5617.3403
Martin_Lake_1	4	Coal-Lig	0.0
South_Texas_U1	8	Uranium	13505.572
Greens_Bayou_74	11	NG	0.0
V_H_Braunig_3	12	NG	0.0
V_H_Braunig_3	10	NG	0.0
Johnson_County	5	NG	0.0
Greenville_Powerlane_IC1	2	NG	0.0
V_H_Braunig_2	3	NG	0.0
T_H_Wharton_GT_53	7	NG	0.0
Rio_Nogales_1	12	NG	0.0
Comanche_Peak_U1	7	Uranium	3939.1752863249963
Tenaska_Kiamichi_Station_1	11	NG	0.0
O_W_Sommers_1	10	NG	5064.15
Panda_Temple_1	8	NG	0.0
V_H_Braunig_6	4	NG	474.91200000000003
R_W_Miller_1	6	NG	0.0
Wichita_Falls_Cogeneration_Plant	11	NG	0.0
Graham_2	12	NG	0.0
Limestone_2	10	Coal-Lig	0.0
Fayette_Power_Project_2	6	Coal-Sub	0.0
Wolf_Hollow_Power_Proj_1	8	NG	0.0
Ingleside_Cogeneration	8	NG	3827.2
BP_Chemicals_Green_Lake_Plant	10	NG	0.0
T_H_Wharton_3	9	NG	0.0
Greens_Bayou_81	4	NG	0.0
Big_Brown_1	8	Coal-Lig	0.0
V_H_Braunig_7	9	NG	474.91200000000003
Permian_Basin_3	3	NG	0.0
W_A_Parish_Petra_Nova	5	NG	738.7420000000001
Powerlane_Plant_1	2	NG	0.0
Oak_Grove_SES_Unit_1	12	Coal-Lig	0.0
Sim_Gideon_1	9	NG	1424.943
Bosque_County_CC_2	9	NG	0.0
Ray_Olinger_4	12	NG	0.0
Corpus_Christi_Energy_Center	7	NG	0.0
Frontera_1	7	NG	0.0
T_H_Wharton_GT_55	4	NG	0.0
Cedar_Bayou_2	6	NG	0.0
R_W_Miller_4	5	NG	0.0
ExTex_La_Porte_Power_Station_AirPro_3	7	NG	0.0
Lufkin_Biomass	12	Biomass	0.0
Paris_Energy_Center_1	3	NG	0.0
Nueces_Bay_8	12	NG	5209.938149999999
Dansby_2	3	NG	0.0
Fayette_Power_Project_2	10	Coal-Sub	0.0
Green_Power_2	8	NG	0.0
B_M_Davis_1	1	NG	3465.0
