GEN_TPS_1	GEN_TPS_2	DispatchGen
Quail_Run_Energy_1	2	0.0
Loraine_Windpark_IV	1	12.0
Gregory_Power_Facility	2	0.0
Tenaska_Kiamichi_Station_2	2	0.0
Greenville_Powerlane_IC2	1	8.4
Hydro_North_LZ	1	51.6000000000001
Buffalo_Gap_Wind_Farm_2_2	1	58.5
Magic_Valley_Station	1	670.2
Panda_Temple_II_CTG2	1	191.2
Sand_Hill_Energy_Center_GT_7	1	0.0
Martin_Lake_3	1	0.0
Hidalgo_1	1	458.0
Sweetwater_Wind_4-4A	2	0.0
Laredo_Peaking_5	1	87.3
Camp_Springs_Wind_2	2	60.0
Panhandle_Wind_1_U1	1	54.6
Handley_4	1	435.0
DeCordova_2	1	0.0
Houston_Chemical_Complex_Battleground	2	0.0
Limestone_1	2	0.0
Dansby_2	1	0.0
Sam_Rayburn_GT_1	2	0.0
Miami_Wind_G2	1	72.15
Sweetwater_Wind_3A	1	14.25
ExTex_La_Porte_Power_Station_AirPro_3	2	0.0
Sherbino_2_Wind	1	73.75
Blue_Wing_2_Solar	2	3.65
R_W_Miller_5	2	0.0
T_H_Wharton_GT_55	2	0.0
Webberville_Solar	2	13.35
Lamar_Power_Project_1	1	1040.0
Trinity_Hills_Wind_2	1	53.75
Forest_Creek_Wind_Farm	2	62.1
Longhorn_Wind_North_U2	1	50.0
Sandow_U5	1	0.0
Limestone_2	2	0.0
San_Jacinto_SES_CTG_2	1	0.0
R_W_Miller_3	2	0.0
King_Mountain_Wind_NW	1	39.65
W_A_Parish_8	1	0.0
Channelview_Cogen_Plant	2	0.0
Pearsall_IC_Engine_Plant_D	2	0.0
South_Trent_Wind_Farm	2	0.0
Nacogdoches_Power	2	105.0
Spencer_5	2	0.0
Barton_Chapel_Wind	1	60.0
Blue_Summit_Wind_6	2	63.2
Papalote_Creek_Wind_Farm_II	2	100.05
Leon_Creek_Peaking_2	2	0.0
Johnson_County	1	269.0
West_Texas_Wind_Energy	1	40.15
J_K_Spruce_1	1	560.0
Buffalo_Gap_Wind_Farm_3	2	85.1
OCI_Alamo_3-Walzem_Solar	1	2.75
Capricorn_Ridge_Wind_2	1	93.0
Barilla_Solar_(FS,_Pecos)	2	0.0
Shannon_Wind	1	100.0
Greens_Bayou_83	2	0.0
Sweetwater_Wind_2A	2	0.0
Los_Vientos_Wind_II	1	100.8
Green_Power_2	2	0.0
Greens_Bayou_74	2	0.0
Cedar_Bayou_4	1	504.0
Buffalo_Gap_Wind_Farm_2_1	2	57.75
Green_Pastures_Wind_1	1	75.0
Winchester_Power_Park_2	2	0.0
Sand_Hill_Energy_Center_GT_4	2	0.0
Windthorst_2	2	33.8
Briscoe_Wind_Farm	2	75.0
Colorado_Bend_Energy_Center_1	1	233.0
Decker_Creek_G3	1	0.0
DeCordova_1	2	0.0
Route_66_Wind	1	75.0
T_H_Wharton_GT_52	1	0.0
Sweetwater_Wind_1	1	18.3
Miami_Wind_G1	2	72.15
Hereford_Wind_G	1	49.95
Sweetwater_Wind_3B	2	0.0
Bayou_Cogen_Plant	1	165.6
Morgan_Creek_3	2	0.0
DeCordova_3	1	0.0
Panda_Temple_1	2	0.0
