LOAD_ZONE	TIMEPOINT	zone_demand_mw
Northeast	745	10819.52157
Northeast	746	10648.89719
Northeast	747	10499.08533
Northeast	748	10477.24576
Northeast	749	10511.1837
Northeast	750	10688.32528
Northeast	751	11036.78746
Northeast	752	11466.40223
Northeast	753	11862.73869
Northeast	754	12250.12295
Northeast	755	12396.62612
Northeast	756	12335.38797
Northeast	757	12126.31873
Northeast	758	11801.86241
Northeast	759	11486.62168
Northeast	760	11349.26997
Northeast	761	11341.16141
Northeast	762	11909.03411
Northeast	763	12665.344
Northeast	764	12581.99652
Northeast	765	12321.64986
Northeast	766	11973.32469
Northeast	767	11366.47618
Northeast	768	10689.86346
Northeast	769	10038.59596
Northeast	770	9585.191005
Northeast	771	9318.124571
Northeast	772	9250.064722
Northeast	773	9387.408539
Northeast	774	9793.116764
Northeast	775	10388.78245
Northeast	776	10873.40275
Northeast	777	11310.30301
Northeast	778	11761.76711
Northeast	779	12093.2203
Northeast	780	12281.07691
Northeast	781	12314.34396
Northeast	782	12320.19132
Northeast	783	12295.65159
Northeast	784	12296.82612
Northeast	785	12319.09423
Northeast	786	12793.84698
Northeast	787	13560.99627
Northeast	788	13424.39399
Northeast	789	13094.04988
Northeast	790	12559.47872
Northeast	791	11659.80102
Northeast	792	10692.27487
Northeast	793	10102.83048
Northeast	794	9729.525723
Northeast	795	9583.22557
Northeast	796	9649.07126
Northeast	797	9978.636122
Northeast	798	10948.09141
Northeast	799	12560.28042
Northeast	800	13434.98764
Northeast	801	13542.92017
Northeast	802	13682.50051
Northeast	803	13927.93631
Northeast	804	14103.59611
Northeast	805	14292.14747
Northeast	806	14472.93522
Northeast	807	14596.24578
Northeast	808	14752.76041
Northeast	809	15251.75177
Northeast	810	16333.90151
Northeast	811	17338.95392
Northeast	812	17432.57698
Northeast	813	17303.53038
Northeast	814	16838.81901
Northeast	815	15883.61808
Northeast	816	14940.77277
Northeast	817	14595.647
Northeast	818	14565.13033
Northeast	819	14744.36601
Northeast	820	15163.22241
Northeast	821	15881.71283
Northeast	822	17145.36153
Northeast	823	19068.80697
Northeast	824	19775.88626
Northeast	825	19521.79
Northeast	826	19342.78184
Northeast	827	19126.52701
Northeast	828	18743.93291
Northeast	829	18181.48808
Northeast	830	17825.1851
Northeast	831	17182.71444
Northeast	832	16435.61474
Northeast	833	16484.03349
Northeast	834	17667.30787
Northeast	835	19061.41676
Northeast	836	19296.75942
Northeast	837	19201.8048
Northeast	838	18629.35265
Northeast	839	17471.0037
Northeast	840	16550.31691
Northeast	841	15884.13771
Northeast	842	15688.82017
Northeast	843	15539.91801
Northeast	844	15654.62864
Northeast	845	16127.23386
Northeast	846	17198.30736
Northeast	847	18921.00985
Northeast	848	19494.28665
Northeast	849	19020.38272
Northeast	850	18763.82962
Northeast	851	18659.08252
Northeast	852	18456.37647
Northeast	853	18248.52388
Northeast	854	18061.08742
Northeast	855	17936.49753
Northeast	856	18067.36604
Northeast	857	18857.0573
Northeast	858	20192.15496
Northeast	859	21371.79961
Northeast	860	21657.89714
Northeast	861	21755.83301
Northeast	862	21280.03968
Northeast	863	20278.39094
Northeast	864	19480.19794
Northeast	865	19156.04318
Northeast	866	19060.16795
Northeast	867	19091.99229
Northeast	868	19286.49767
Northeast	869	19880.88996
Northeast	870	21035.38954
Northeast	871	22686.26631
Northeast	872	23536.41843
Northeast	873	23490.15742
Northeast	874	23616.32493
Northeast	875	23604.97763
Northeast	876	23409.66443
Northeast	877	23201.70431
Northeast	878	23199.60625
Northeast	879	23252.48133
Northeast	880	23236.43045
Northeast	881	23589.76417
Northeast	882	24357.13979
Northeast	883	25081.01757
Northeast	884	24910.12002
Northeast	885	24615.91545
Northeast	886	24089.61587
Northeast	887	23243.64922
Northeast	888	22529.0955
Northeast	889	22285.8495
Northeast	890	22149.79247
Northeast	891	22136.34126
Northeast	892	22302.51109
Northeast	893	22669.76997
Northeast	894	23233.36483
Northeast	895	23959.58741
Northeast	896	24578.9649
Northeast	897	24506.73853
Northeast	898	23659.74102
Northeast	899	22513.2573
Northeast	900	21210.84094
Northeast	901	19838.95341
Northeast	902	18494.85518
Northeast	903	17417.93453
Northeast	904	16783.28213
Northeast	905	16830.96612
Northeast	906	18028.41848
Northeast	907	19652.96366
Northeast	908	20243.71411
Northeast	909	20581.44119
Northeast	910	20558.26661
Northeast	911	20252.80545
Northeast	912	19933.14861
Northeast	913	19536.96808
Northeast	914	19459.8239
Northeast	915	19489.46787
Northeast	916	19636.73377
Northeast	917	19959.25457
Northeast	918	20462.57458
Northeast	919	21107.43038
Northeast	920	21648.57607
Northeast	921	21518.71669
Northeast	922	20643.30172
Northeast	923	19531.28446
Northeast	924	18446.7445
Northeast	925	17484.03332
Northeast	926	16674.90023
Northeast	927	16025.66851
Northeast	928	15630.58315
Northeast	929	15733.67308
Northeast	930	16783.56674
Northeast	931	18032.94973
Northeast	932	18374.17256
Northeast	933	18335.63344
Northeast	934	17909.89804
Northeast	935	17058.58609
Northeast	936	16228.26854
Northeast	937	15968.94605
Northeast	938	15799.73395
Northeast	939	15790.34622
Northeast	940	15979.57719
Northeast	941	16566.53774
Northeast	942	17784.5879
Northeast	943	19495.70117
Northeast	944	19924.94406
Northeast	945	19133.99146
Northeast	946	18078.25811
Northeast	947	17069.51048
Northeast	948	16131.48249
Northeast	949	15374.84751
Northeast	950	14684.1928
Northeast	951	14094.09664
Northeast	952	13685.86949
Northeast	953	13623.78013
Northeast	954	14208.54632
Northeast	955	15166.99385
