load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	zone_demand_mw
West	2017020100	1371.48	0	1371.48
West	2017020101	1340.68	0	1340.68
West	2017020102	1289.63	0	1289.63
West	2017020103	1253.36	0	1253.36
West	2017020104	1231.14	0	1231.14
West	2017020105	1233.46	0	1233.46
West	2017020106	1260.65	0	1260.65
West	2017020107	1284.75	0	1284.75
West	2017020108	1325.34	0	1325.34
West	2017020109	1381.91	0	1381.91
West	2017020110	1423.87	0	1423.87
West	2017020111	1470.51	0	1470.51
West	2017020112	1513.8	0	1513.8
West	2017020113	1549.92	0	1549.92
West	2017020114	1579.12	0	1579.12
West	2017020115	1604.55	0	1604.55
West	2017020116	1620.67	0	1620.67
West	2017020117	1649.37	0	1649.37
West	2017020118	1752.63	0	1752.63
West	2017020119	1735.82	0	1735.82
West	2017020120	1687.79	0	1687.79
West	2017020121	1628.46	0	1628.46
West	2017020122	1542.91	0	1542.91
West	2017020123	1444.2	0	1444.2
West	2017020200	1349.76	0	1349.76
West	2017020201	1290.65	0	1290.65
West	2017020202	1252.46	0	1252.46
West	2017020203	1241.18	0	1241.18
West	2017020204	1249.78	0	1249.78
West	2017020205	1288.45	0	1288.45
West	2017020206	1357.32	0	1357.32
West	2017020207	1400.23	0	1400.23
West	2017020208	1458.42	0	1458.42
West	2017020209	1547.51	0	1547.51
West	2017020210	1636.1	0	1636.1
West	2017020211	1703.46	0	1703.46
West	2017020212	1743.82	0	1743.82
West	2017020213	1782.3	0	1782.3
West	2017020214	1814.99	0	1814.99
West	2017020215	1833.56	0	1833.56
West	2017020216	1834.58	0	1834.58
West	2017020217	1825.7	0	1825.7
West	2017020218	1896.85	0	1896.85
West	2017020219	1862.01	0	1862.01
West	2017020220	1795.12	0	1795.12
West	2017020221	1702.73	0	1702.73
West	2017020222	1580.89	0	1580.89
West	2017020223	1441.56	0	1441.56
West	2017020300	1334.46	0	1334.46
West	2017020301	1271.78	0	1271.78
West	2017020302	1246.88	0	1246.88
West	2017020303	1251.97	0	1251.97
West	2017020304	1287.02	0	1287.02
West	2017020305	1406.57	0	1406.57
West	2017020306	1605.72	0	1605.72
West	2017020307	1698.58	0	1698.58
West	2017020308	1689.69	0	1689.69
West	2017020309	1669.18	0	1669.18
West	2017020310	1669.39	0	1669.39
West	2017020311	1674.73	0	1674.73
West	2017020312	1696.63	0	1696.63
West	2017020313	1739.79	0	1739.79
